filename,status,original_width,original_height,processed_width,processed_height,final_width,final_height,scale_x,scale_y,detected_angle,suggested_scale_y,iso_auto_scale_applied,iso_auto_scale_y,iso_pre_right_ratio,iso_pre_left_ratio,iso_pre_avg_ratio,iso_pre_side_diff,iso_align_skipped_reason,iso_right_ratio,iso_left_ratio,iso_avg_ratio,iso_side_diff,iso_right_abs_ratio,iso_left_abs_ratio,iso_measurement_method,iso_right_point,iso_left_point,iso_bottom_point,output_path,error
commercialBuilding3-01-highScore.png,success,1254,1254,1254,1330,1024,1024,1.0,1.0,26.84,0.9879,True,1.0837,0.4635,0.4593,0.4614,0.0042,,-0.5,0.4959,0.498,0.0041,0.5,0.4959,bottom-scan-10pct+virtual,"(879,811)","(142,812)","(511,995)",output/fixed/commercial/3x3/commercialBuilding3-01-highScore_fixed.png,
commercialBuilding3-02.PNG,success,455,555,455,476,1024,1024,1.0,1.0,25.08,1.0682,True,0.8572,0.622,0.5445,0.5833,0.0775,,-0.5366,0.4684,0.5025,0.0682,0.5366,0.4684,bottom-scan-10pct+virtual,"(688,926)","(334,925)","(524,1014)",output/fixed/commercial/3x3/commercialBuilding3-02_fixed.png,
commercialBuilding3-03.PNG,success,447,568,447,406,1024,1024,1.0,1.0,26.57,1.0,True,0.7153,0.7102,0.6879,0.699,0.0223,,-0.5057,0.4913,0.4985,0.0144,0.5057,0.4913,bottom-scan-10pct+virtual,"(685,929)","(336,933)","(509,1018)",output/fixed/commercial/3x3/commercialBuilding3-03_fixed.png,
commercialBuilding3-04.png,success,1254,1254,1249,1187,1024,1024,1.0,1.0,26.21,1.0159,True,0.9468,0.5309,0.5252,0.5281,0.0057,,-0.5026,0.4974,0.5,0.0052,0.5026,0.4974,bottom-scan-10pct+virtual,"(896,740)","(122,739)","(512,933)",output/fixed/commercial/3x3/commercialBuilding3-04_fixed.png,
commercialBuilding3-05-highScore.png,success,1254,1254,1254,1260,1024,1024,1.0,1.0,26.29,1.012,True,1.005,0.5032,0.4917,0.4975,0.0115,,-0.5039,0.4924,0.4981,0.0115,0.5039,0.4924,bottom-scan-10pct+virtual,"(901,798)","(122,798)","(516,992)",output/fixed/commercial/3x3/commercialBuilding3-05-highScore_fixed.png,
commercialBuilding3-06-highScore.png,success,1254,1254,1254,1149,1024,1024,1.0,1.0,26.74,0.9924,True,0.9164,0.5577,0.5336,0.5456,0.0241,,-0.5131,0.49,0.5015,0.0231,0.5131,0.49,bottom-scan-10pct+virtual,"(904,762)","(122,762)","(522,958)",output/fixed/commercial/3x3/commercialBuilding3-06-highScore_fixed.png,
commercialBuilding3-07.png,success,1254,1254,1254,1254,1024,1024,1.0,1.0,27.99,0.9409,False,,0.5326,0.4147,0.4737,0.1179,left/right difference 0.1179 exceeds 0.1000,-0.533,0.4146,0.4738,0.1184,0.533,0.4146,bottom-scan-10pct+virtual,"(900,721)","(126,745)","(536,915)",output/fixed/commercial/3x3/commercialBuilding3-07_fixed.png,
commercialBuilding3-08-highScore.PNG,success,423,678,423,492,1024,1024,1.0,1.0,27.65,0.9543,True,0.7252,0.6728,0.7062,0.6895,0.0334,,-0.4877,0.5112,0.4995,0.0235,0.4877,0.5112,bottom-scan-10pct+virtual,"(684,939)","(344,927)","(522,1018)",output/fixed/commercial/3x3/commercialBuilding3-08-highScore_fixed.png,
commercialBuilding3-09.PNG,success,573,784,573,535,1024,1024,1.0,1.0,26.54,1.0013,True,0.6818,0.7511,0.7156,0.7333,0.0355,,-0.5113,0.4889,0.5001,0.0224,0.5113,0.4889,bottom-scan-10pct+virtual,"(734,905)","(288,908)","(513,1018)",output/fixed/commercial/3x3/commercialBuilding3-09_fixed.png,
commercialBuilding3-10.PNG,success,491,495,491,426,1024,1024,1.0,1.0,25.93,1.0283,True,0.8616,0.5978,0.5628,0.5803,0.035,,-0.5109,0.4848,0.4979,0.0261,0.5109,0.4848,bottom-scan-10pct+virtual,"(702,924)","(320,922)","(518,1018)",output/fixed/commercial/3x3/commercialBuilding3-10_fixed.png,
commercialBuilding3-11.PNG,success,406,549,406,460,1024,1024,1.0,1.0,26.46,1.0045,True,0.8381,0.6129,0.5802,0.5966,0.0327,,-0.5195,0.4847,0.5021,0.0348,0.5195,0.4847,bottom-scan-10pct+virtual,"(670,935)","(353,936)","(516,1015)",output/fixed/commercial/3x3/commercialBuilding3-11_fixed.png,
