filename,status,original_width,original_height,processed_width,processed_height,final_width,final_height,scale_x,scale_y,detected_angle,suggested_scale_y,iso_auto_scale_applied,iso_auto_scale_y,iso_pre_right_ratio,iso_pre_left_ratio,iso_pre_avg_ratio,iso_pre_side_diff,iso_align_skipped_reason,iso_right_ratio,iso_left_ratio,iso_avg_ratio,iso_side_diff,iso_right_abs_ratio,iso_left_abs_ratio,iso_measurement_method,iso_right_point,iso_left_point,iso_bottom_point,output_path,error
commercial/1x1/commercialBuilding1-01.png,success,1254,1254,1205,1224,1024,1024,1.0,1.0,,,True,0.9891,0.5088,0.5022,0.5055,0.0066,,-0.5053,0.4987,0.502,0.0066,0.5053,0.4987,bottom-scan-10pct+virtual,"(890,806)","(131,807)","(512,997)",output/modified4/commercial/1x1/commercialBuilding1-01.png,
commercial/1x1/commercialBuilding1-02.png,success,1254,1254,1254,1069,1024,1024,1.0,1.0,,,True,0.8524,0.572,0.6013,0.5866,0.0293,,-0.4861,0.5116,0.4989,0.0255,0.4861,0.5116,bottom-scan-10pct+virtual,"(904,786)","(120,781)","(507,979)",output/modified4/commercial/1x1/commercialBuilding1-02.png,
commercial/1x1/commercialBuilding1-03.png,success,1004,1004,757,964,1024,1024,1.0,1.0,,,False,,0.233,0.4217,0.3274,0.1887,left/right difference 0.1887 exceeds 0.1000,-0.233,0.4217,0.3274,0.1887,0.233,0.4217,bottom-scan-10pct+virtual,"(790,927)","(232,894)","(481,999)",output/modified4/commercial/1x1/commercialBuilding1-03.png,
commercial/1x1/commercialBuilding1-04.PNG,success,368,415,368,404,1024,1024,1.0,1.0,,,True,0.9733,0.5274,0.5,0.5137,0.0274,,-0.5137,0.4892,0.5015,0.0245,0.5137,0.4892,bottom-scan-10pct+virtual,"(654,943)","(369,950)","(508,1018)",output/modified4/commercial/1x1/commercialBuilding1-04.png,
commercial/2x2/commercialBuilding2-01.PNG,success,441,396,441,374,1024,1024,1.0,1.0,,,True,0.9439,0.5167,0.5427,0.5297,0.026,,-0.4889,0.5152,0.502,0.0263,0.4889,0.5152,bottom-scan-10pct+virtual,"(683,930)","(338,933)","(503,1018)",output/modified4/commercial/2x2/commercialBuilding2-01.png,
commercial/2x2/commercialBuilding2-02.png,success,1254,1254,1254,772,1024,1024,1.0,1.0,,,True,0.9171,0.5456,0.5447,0.5452,0.0009,,-0.5026,0.4975,0.5,0.0051,0.5026,0.4975,bottom-scan-10pct+virtual,"(906,801)","(120,802)","(514,998)",output/modified4/commercial/2x2/commercialBuilding2-02.png,
commercial/2x2/commercialBuilding2-03.png,success,1254,1254,1254,1131,1024,1024,1.0,1.0,,,True,0.9016,0.5546,0.5546,0.5546,0.0,,-0.5013,0.4987,0.5,0.0026,0.5013,0.4987,bottom-scan-10pct+virtual,"(884,796)","(138,797)","(511,983)",output/modified4/commercial/2x2/commercialBuilding2-03.png,
commercial/2x2/commercialBuilding2-04.png,success,1254,1254,1254,934,1024,1024,1.0,1.0,,,True,0.8005,0.6234,0.6258,0.6246,0.0024,,-0.5013,0.5025,0.5019,0.0012,0.5013,0.5025,bottom-scan-10pct+virtual,"(906,804)","(117,800)","(515,1000)",output/modified4/commercial/2x2/commercialBuilding2-04.png,
commercial/2x2/commercialBuilding2-06.png,success,1254,1254,944,1066,1024,1024,1.0,1.0,,,True,0.8615,0.5862,0.5746,0.5804,0.0116,,-0.5045,0.4985,0.5015,0.006,0.5045,0.4985,bottom-scan-10pct+virtual,"(849,827)","(173,826)","(514,996)",output/modified4/commercial/2x2/commercialBuilding2-06.png,
commercial/2x2/commercialBuilding2-07.PNG,success,455,592,455,500,1024,1024,1.0,1.0,,,True,0.8453,0.6154,0.5676,0.5915,0.0478,,-0.5207,0.4811,0.5009,0.0396,0.5207,0.4811,bottom-scan-10pct+virtual,"(688,927)","(334,926)","(519,1015)",output/modified4/commercial/2x2/commercialBuilding2-07.png,
commercial/3x3/commercialBuilding3-01-highScore.png,success,1254,1254,1254,1330,1024,1024,1.0,1.0,,,True,1.0837,0.4635,0.4593,0.4614,0.0042,,-0.5,0.4959,0.498,0.0041,0.5,0.4959,bottom-scan-10pct+virtual,"(879,811)","(142,812)","(511,995)",output/modified4/commercial/3x3/commercialBuilding3-01-highScore.png,
commercial/3x3/commercialBuilding3-03.png,success,1254,1254,1095,885,1024,1024,1.0,1.0,,,True,0.7118,0.708,0.6968,0.7024,0.0112,,-0.5026,0.4935,0.498,0.0091,0.5026,0.4935,bottom-scan-10pct+virtual,"(895,806)","(128,810)","(511,999)",output/modified4/commercial/3x3/commercialBuilding3-03.png,
commercial/3x3/commercialBuilding3-04.png,success,1254,1254,1249,1187,1024,1024,1.0,1.0,,,True,0.9468,0.5309,0.5252,0.5281,0.0057,,-0.5026,0.4974,0.5,0.0052,0.5026,0.4974,bottom-scan-10pct+virtual,"(896,740)","(122,739)","(512,933)",output/modified4/commercial/3x3/commercialBuilding3-04.png,
